Booking Id,Status,Difference,remarks,Action
14853,Booking Id not found,0,,,0
14855,Refund,499,Cancelled,Add Refund Entry in System,2
14507,Refund,499,Cancelled,Add Refund Entry in System,2
319,Transaction,13677,,,0
318,Refund,1806,,,0
13631,Refund,2,Cancelled,Add Refund Entry in System,2
311,Refund,2799,,,0
15524,Refund,500,Paid By cash,None,0
15126,Refund,499,,,0
15087,Refund,2000,Cancelled,Add Refund Entry in System,2
250,Transaction,4997,,,0
16007,Refund,13136,Paid By cash,None,0
15098,Refund,499,Cancelled,Add Refund Entry in System,2
14313,Refund,699,Cancelled,Add Once Transaction Entry And Add One Refund Entry in System,3
14815,Refund,499,Cancelled,Add Refund Entry in System,2
14798,Refund,499,Cancelled,Add Refund Entry in System,2
15144,Refund,499,Cancelled,Add Refund Entry in System,2
14790,Refund,699,Cancelled,Add Refund Entry in System,2
15148,Refund,499,Cancelled,Add Refund Entry in System,2
14710,Refund,499,Cancelled,Add Refund Entry in System,2
14091,Refund,5,Cancelled,Add Once Transaction Entry And Add One Refund Entry in System,3
230,Transaction,22900,,,0
14366,Refund,499,Cancelled,Add Refund Entry in System,2
14800,Refund,499,Cancelled,Add Refund Entry in System,2
324,Refund,500,,,0
14371,Refund,5,Cancelled,Add Refund Entry in System,2
