Modle ID,Panel Id,Pkg id,scratch,dent,part,scratch,dent,part
112,3,,3876.1875,4737.5625,5267,3375,4125,4600
112,1,,3474.2125,4335.5875,2977,3025,3775,2600
112,2,,3474.2125,4335.5875,2977,3025,3775,2600
112,6,,3933.6125,4794.9875,5839.5,3425,4175,5100
112,7,,3933.6125,4794.9875,5839.5,3425,4175,5100
112,8,,3761.3375,4622.7125,6068.5,3275,4025,5300
112,9,,3761.3375,4622.7125,6068.5,3275,4025,5300
112,4,,3876.1875,4737.5625,2862.5,3375,4125,2500
112,5,,3876.1875,4737.5625,2290,3375,4125,2000
112,10,,3876.1875,4737.5625,5725,3375,4125,5000
112,11,,3474.2125,4335.5875,2862.5,3025,3775,2500
112,12,,3474.2125,4335.5875,2862.5,3025,3775,2500
112,15,,5886.0625,6747.4375,0,5125,5875,
112,18,,2440.5625,3301.9375,1660.25,2125,2875,1450
112,,10,34856.975,39623.25,0,30350,34500,
111,3,,4536.575,5397.95,5610.5,3950,4700,4900
111,1,,4536.575,5397.95,3664,3950,4700,3200
111,2,,4536.575,5397.95,3664,3950,4700,3200
111,6,,4536.575,5397.95,5725,3950,4700,5000
111,7,,4536.575,5397.95,5725,3950,4700,5000
111,8,,4536.575,5397.95,11335.5,3950,4700,9900
111,9,,4536.575,5397.95,11335.5,3950,4700,9900
111,4,,5254.3875,6115.7625,4351,4575,5325,3800
111,5,,5254.3875,6115.7625,4809,4575,5325,4200
111,10,,4536.575,5397.95,5267,3950,4700,4600
111,11,,4536.575,5397.95,5038,3950,4700,4400
111,12,,4536.575,5397.95,5038,3950,4700,4400
111,15,,8412.7625,9274.1375,0,7325,8075,
111,18,,2497.9875,3359.3625,2061,2175,2925,1800
111,,10,44504.375,51682.5,0,38750,45000,
114,3,,3531.6375,4393.0125,5725,3075,3825,5000
114,1,,4594,5455.375,2862.5,4000,4750,2500
114,2,,4594,5455.375,2862.5,4000,4750,2500
114,6,,4594,5455.375,6526.5,4000,4750,5700
114,7,,4594,5455.375,6526.5,4000,4750,5700
114,8,,4594,5455.375,6526.5,4000,4750,5700
114,9,,4594,5455.375,6526.5,4000,4750,5700
114,4,,5340.525,6201.9,4007.5,4650,5400,3500
114,5,,5340.525,6201.9,3721.25,4650,5400,3250
114,10,,4594,5455.375,5725,4000,4750,5000
114,11,,4594,5455.375,2862.5,4000,4750,2500
114,12,,4594,5455.375,2862.5,4000,4750,2500
114,15,,7465.25,8326.625,0,6500,7250,
114,18,,2469.275,3330.65,1574.375,2150,2900,1375
114,,10,45365.75,54553.75,0,39500,47500,
110,3,,4852.4125,5713.7875,8015,4225,4975,7000
110,1,,4909.8375,5771.2125,2862.5,4275,5025,2500
110,2,,4909.8375,5771.2125,2862.5,4275,5025,2500
110,6,,4536.575,5397.95,7442.5,3950,4700,6500
110,7,,4536.575,5397.95,7442.5,3950,4700,6500
110,8,,4536.575,5397.95,7442.5,3950,4700,6500
110,9,,4536.575,5397.95,7442.5,3950,4700,6500
110,4,,5685.075,6546.45,6297.5,4950,5700,5500
110,5,,5685.075,6546.45,4007.5,4950,5700,3500
110,10,,4306.875,5168.25,5725,3750,4500,5000
110,11,,4909.8375,5771.2125,2862.5,4275,5025,2500
110,12,,4909.8375,5771.2125,2862.5,4275,5025,2500
110,15,,6402.8875,7264.2625,0,5575,6325,
110,18,,2497.9875,3359.3625,1660.25,2175,2925,1450
110,,10,48811.25,57712.125,0,42500,50250,
143,3,,6144.475,7005.85,0,5350,6100,
143,1,,5311.8125,6173.1875,0,4625,5375,
143,2,,5311.8125,6173.1875,0,4625,5375,
143,6,,5426.6625,6288.0375,0,4725,5475,
143,7,,5426.6625,6288.0375,0,4725,5475,
143,8,,5426.6625,6288.0375,0,4725,5475,
143,9,,5426.6625,6288.0375,0,4725,5475,
143,4,,6460.3125,7321.6875,0,5625,6375,
143,5,,6460.3125,7321.6875,0,5625,6375,
143,10,,6345.4625,7206.8375,0,5525,6275,
143,11,,5311.8125,6173.1875,0,4625,5375,
143,12,,5311.8125,6173.1875,0,4625,5375,
143,15,,7063.275,7924.65,0,6150,6900,
143,18,,3215.8,4077.175,0,2800,3550,
143,,10,56563.625,66153.6,0,49250,57600,
144,3,,7493.9625,8355.3375,0,6525,7275,
144,1,,5771.2125,6632.5875,0,5025,5775,
144,2,,5771.2125,6632.5875,0,5025,5775,
144,6,,6402.8875,7264.2625,0,5575,6325,
144,7,,6402.8875,7264.2625,0,5575,6325,
144,8,,6402.8875,7264.2625,0,5575,6325,
144,9,,6402.8875,7264.2625,0,5575,6325,
144,4,,7379.1125,8240.4875,0,6425,7175,
144,5,,7379.1125,8240.4875,0,6425,7175,
144,10,,8355.3375,9216.7125,0,7275,8025,
144,11,,5771.2125,6632.5875,0,5025,5775,
144,12,,5771.2125,6632.5875,0,5025,5775,
144,15,,7637.525,8498.9,0,6650,7400,
144,18,,3818.7625,4680.1375,0,3325,4075,
144,,10,62708.1,72355.5,0,54600,63000,
113,3,,6690.0125,7551.3875,0,5825,6575,
113,1,,5771.2125,6632.5875,0,5025,5775,
113,2,,5771.2125,6632.5875,0,5025,5775,
113,6,,6632.5875,7493.9625,0,5775,6525,
113,7,,6632.5875,7493.9625,0,5775,6525,
113,8,,6632.5875,7493.9625,0,5775,6525,
113,9,,6632.5875,7493.9625,0,5775,6525,
113,4,,7379.1125,8240.4875,0,6425,7175,
113,5,,7379.1125,8240.4875,0,6425,7175,
113,10,,7953.3625,8814.7375,0,6925,7675,
113,11,,5771.2125,6632.5875,0,5025,5775,
113,12,,5771.2125,6632.5875,0,5025,5775,
113,15,,8872.1625,9733.5375,0,7725,8475,
113,18,,3388.075,4249.45,0,2950,3700,
113,,10,67416.95,77868.3,0,58700,67800,
13,3,,3571.835,4433.21,2633.5,3110,3860,2300
13,1,,2526.7,3388.075,1259.5,2200,2950,1100
13,2,,2526.7,3388.075,1259.5,2200,2950,1100
13,6,,4306.875,5168.25,5438.75,3750,4500,4750
13,7,,4306.875,5168.25,5438.75,3750,4500,4750
13,8,,3330.65,4192.025,5553.25,2900,3650,4850
13,9,,3330.65,4192.025,5553.25,2900,3650,4850
13,4,,3790.05,4651.425,1225.15,3300,4050,1070
13,5,,3790.05,4651.425,1351.1,3300,4050,1180
13,10,,4192.025,5053.4,3664,3650,4400,3200
13,11,,2526.7,3388.075,1374,2200,2950,1200
13,12,,2526.7,3388.075,1374,2200,2950,1200
13,15,,4507.8625,5369.2375,0,3925,4675,
13,18,,689.1,1550.475,0,600,1350,
13,,10,37326.25,44217.25,0,32500,38500,
255,3,,4507.8625,5369.2375,2748,3925,4675,2400
255,1,,2871.25,3732.625,1259.5,2500,3250,1100
255,2,,2871.25,3732.625,1259.5,2500,3250,1100
255,6,,4192.025,5053.4,5496,3650,4400,4800
255,7,,4192.025,5053.4,5496,3650,4400,4800
255,8,,4192.025,5053.4,6870,3650,4400,6000
255,9,,4192.025,5053.4,6870,3650,4400,6000
255,4,,3732.625,4594,1374,3250,4000,1200
255,5,,3732.625,4594,1717.5,3250,4000,1500
255,10,,4192.025,5053.4,4007.5,3650,4400,3500
255,11,,2526.7,3388.075,1316.75,2200,2950,1150
255,12,,2526.7,3388.075,1316.75,2200,2950,1150
255,15,,4507.8625,5369.2375,0,3925,4675,
255,18,,689.1,1550.475,0,600,1350,
255,,10,37326.25,44217.25,0,32500,38500,
18,3,,4507.8625,5369.2375,2748,3925,4675,2400
18,1,,2871.25,3732.625,1259.5,2500,3250,1100
18,2,,2871.25,3732.625,1259.5,2500,3250,1100
18,6,,4192.025,5053.4,5496,3650,4400,4800
18,7,,4192.025,5053.4,5496,3650,4400,4800
18,8,,4192.025,5053.4,6870,3650,4400,6000
18,9,,4192.025,5053.4,6870,3650,4400,6000
18,4,,3732.625,4594,1374,3250,4000,1200
18,5,,3732.625,4594,1717.5,3250,4000,1500
18,10,,4192.025,5053.4,4007.5,3650,4400,3500
18,11,,2526.7,3388.075,1316.75,2200,2950,1150
18,12,,2526.7,3388.075,1316.75,2200,2950,1150
18,15,,4507.8625,5369.2375,0,3925,4675,
18,18,,689.1,1550.475,0,600,1350,
18,,10,37326.25,44217.25,0,32500,38500,
15,3,,4507.8625,5369.2375,2862.5,3925,4675,2500
15,1,,2871.25,3732.625,1374,2500,3250,1200
15,2,,2871.25,3732.625,1374,2500,3250,1200
15,6,,4192.025,5053.4,5725,3650,4400,5000
15,7,,4192.025,5053.4,5725,3650,4400,5000
15,8,,4192.025,5053.4,7099,3650,4400,6200
15,9,,4192.025,5053.4,7099,3650,4400,6200
15,4,,3732.625,4594,1488.5,3250,4000,1300
15,5,,3732.625,4594,2061,3250,4000,1800
15,10,,4192.025,5053.4,4351,3650,4400,3800
15,11,,2526.7,3388.075,1488.5,2200,2950,1300
15,12,,2526.7,3388.075,1488.5,2200,2950,1300
15,15,,4507.8625,5369.2375,0,3925,4675,
15,18,,689.1,1550.475,0,600,1350,
15,,10,37326.25,44217.25,0,32500,38500,
145,3,,5024.6875,5886.0625,3893,4375,5125,3400
145,1,,3158.375,4019.75,1488.5,2750,3500,1300
145,2,,3158.375,4019.75,1488.5,2750,3500,1300
145,6,,4479.15,5340.525,6984.5,3900,4650,6100
145,7,,4479.15,5340.525,6984.5,3900,4650,6100
145,8,,4479.15,5340.525,7442.5,3900,4650,6500
145,9,,4479.15,5340.525,7442.5,3900,4650,6500
145,4,,4048.4625,4909.8375,1374,3525,4275,1200
145,5,,4048.4625,4909.8375,1946.5,3525,4275,1700
145,10,,4536.575,5397.95,4007.5,3950,4700,3500
145,11,,2727.6875,3589.0625,1545.75,2375,3125,1350
145,12,,2727.6875,3589.0625,1545.75,2375,3125,1350
145,15,,4967.2625,5828.6375,0,4325,5075,
145,18,,717.8125,1579.1875,0,625,1375,
145,,10,41346,48237,0,36000,42000,
16,3,,5024.6875,5886.0625,4580,4375,5125,4000
16,1,,3158.375,4019.75,1717.5,2750,3500,1500
16,2,,3158.375,4019.75,1717.5,2750,3500,1500
16,6,,4479.15,5340.525,7442.5,3900,4650,6500
16,7,,4479.15,5340.525,7442.5,3900,4650,6500
16,8,,4479.15,5340.525,7786,3900,4650,6800
16,9,,4479.15,5340.525,7786,3900,4650,6800
16,4,,4048.4625,4909.8375,1603,3525,4275,1400
16,5,,4048.4625,4909.8375,2061,3525,4275,1800
16,10,,4536.575,5397.95,4351,3950,4700,3800
16,11,,2727.6875,3589.0625,1717.5,2375,3125,1500
16,12,,2727.6875,3589.0625,1717.5,2375,3125,1500
16,15,,4967.2625,5828.6375,0,4325,5075,
16,18,,717.8125,1579.1875,0,625,1375,
16,,10,41346,48237,0,36000,42000,
153,3,,5397.95,6259.325,4007.5,4700,5450,3500
153,1,,3388.075,4249.45,2519,2950,3700,2200
153,2,,3388.075,4249.45,2519,2950,3700,2200
153,6,,4995.975,5857.35,8015,4350,5100,7000
153,7,,4995.975,5857.35,8015,4350,5100,7000
153,8,,4995.975,5857.35,8587.5,4350,5100,7500
153,9,,4995.975,5857.35,8587.5,4350,5100,7500
153,4,,4565.2875,5426.6625,2003.75,3975,4725,1750
153,5,,4565.2875,5426.6625,2519,3975,4725,2200
153,10,,4995.975,5857.35,5954,4350,5100,5200
153,11,,3043.525,3904.9,2519,2650,3400,2200
153,12,,3043.525,3904.9,2519,2650,3400,2200
153,15,,5512.8,6374.175,0,4800,5550,
153,18,,717.8125,1579.1875,0,625,1375,
153,,10,47088.5,56276.5,0,41000,49000,
155,3,,5397.95,6259.325,4351,4700,5450,3800
155,1,,3388.075,4249.45,2748,2950,3700,2400
155,2,,3388.075,4249.45,2748,2950,3700,2400
155,6,,4995.975,5857.35,14312.5,4350,5100,12500
155,7,,4995.975,5857.35,14312.5,4350,5100,12500
155,8,,4995.975,5857.35,14885,4350,5100,13000
155,9,,4995.975,5857.35,14885,4350,5100,13000
155,4,,4565.2875,5426.6625,2175.5,3975,4725,1900
155,5,,4565.2875,5426.6625,2977,3975,4725,2600
155,10,,4995.975,5857.35,6297.5,4350,5100,5500
155,11,,3043.525,3904.9,2748,2650,3400,2400
155,12,,3043.525,3904.9,2748,2650,3400,2400
155,15,,5512.8,6374.175,0,4800,5550,
155,18,,717.8125,1579.1875,0,625,1375,
155,,10,47088.5,56276.5,0,41000,49000,
20,3,,5397.95,6259.325,4351,4700,5450,3800
20,1,,3388.075,4249.45,2748,2950,3700,2400
20,2,,3388.075,4249.45,2748,2950,3700,2400
20,6,,4995.975,5857.35,14312.5,4350,5100,12500
20,7,,4995.975,5857.35,14312.5,4350,5100,12500
20,8,,4995.975,5857.35,14885,4350,5100,13000
20,9,,4995.975,5857.35,14885,4350,5100,13000
20,4,,4565.2875,5426.6625,2175.5,3975,4725,1900
20,5,,4565.2875,5426.6625,2977,3975,4725,2600
20,10,,4995.975,5857.35,6297.5,4350,5100,5500
20,11,,3043.525,3904.9,2748,2650,3400,2400
20,12,,3043.525,3904.9,2748,2650,3400,2400
20,15,,5512.8,6374.175,0,4800,5550,
20,18,,717.8125,1579.1875,0,625,1375,
20,,10,47088.5,56276.5,0,41000,49000,
118,3,,3158.375,4019.75,2633.5,2750,3500,2300
118,1,,2182.15,3043.525,1030.5,1900,2650,900
118,2,,2182.15,3043.525,1030.5,1900,2650,900
118,6,,3330.65,4192.025,5152.5,2900,3650,4500
118,7,,3330.65,4192.025,5152.5,2900,3650,4500
118,8,,3330.65,4192.025,7442.5,2900,3650,6500
118,9,,3330.65,4192.025,7442.5,2900,3650,6500
118,4,,2698.975,3560.35,1259.5,2350,3100,1100
118,5,,2698.975,3560.35,1832,2350,3100,1600
118,10,,3560.35,4421.725,4923.5,3100,3850,4300
118,11,,2182.15,3043.525,1374,1900,2650,1200
118,12,,2182.15,3043.525,1374,1900,2650,1200
118,15,,3560.35,4421.725,0,3100,3850,
118,18,,689.1,1550.475,0,600,1350,
118,,10,34455,37900.5,0,30000,33000,
29,3,,3445.5,4306.875,3320.5,3000,3750,2900
29,1,,2354.425,3215.8,1374,2050,2800,1200
29,2,,2354.425,3215.8,1374,2050,2800,1200
29,6,,3675.2,4536.575,5267,3200,3950,4600
29,7,,3675.2,4536.575,5267,3200,3950,4600
29,8,,3675.2,4536.575,7557,3200,3950,6600
29,9,,3675.2,4536.575,7557,3200,3950,6600
29,4,,3043.525,3904.9,1603,2650,3400,1400
29,5,,3043.525,3904.9,2290,2650,3400,2000
29,10,,3445.5,4306.875,4923.5,3000,3750,4300
29,11,,2411.85,3273.225,1488.5,2100,2850,1300
29,12,,2411.85,3273.225,1488.5,2100,2850,1300
29,15,,4249.45,5110.825,0,3700,4450,
29,18,,689.1,1550.475,0,600,1350,
29,,10,36752,42494.5,0,32000,37000,
2,3,,3847.475,4708.85,3664,3350,4100,3200
2,1,,2526.7,3388.075,1259.5,2200,2950,1100
2,2,,2526.7,3388.075,1259.5,2200,2950,1100
2,6,,3962.325,4823.7,5610.5,3450,4200,4900
2,7,,3962.325,4823.7,5610.5,3450,4200,4900
2,8,,3589.0625,4450.4375,7671.5,3125,3875,6700
2,9,,3589.0625,4450.4375,7671.5,3125,3875,6700
2,4,,3388.075,4249.45,1717.5,2950,3700,1500
2,5,,3330.65,4192.025,3206,2900,3650,2800
2,10,,3847.475,4708.85,5496,3350,4100,4800
2,11,,2526.7,3388.075,1717.5,2200,2950,1500
2,12,,2526.7,3388.075,1717.5,2200,2950,1500
2,15,,4594,5455.375,0,4000,4750,
2,18,,746.525,1607.9,0,650,1400,
2,,10,39049,44791.5,0,34000,39000,
27,3,,3847.475,4708.85,3664,3350,4100,3200
27,1,,2526.7,3388.075,1259.5,2200,2950,1100
27,2,,2526.7,3388.075,1259.5,2200,2950,1100
27,6,,3962.325,4823.7,5610.5,3450,4200,4900
27,7,,3962.325,4823.7,5610.5,3450,4200,4900
27,8,,3589.0625,4450.4375,7671.5,3125,3875,6700
27,9,,3589.0625,4450.4375,7671.5,3125,3875,6700
27,4,,3388.075,4249.45,1717.5,2950,3700,1500
27,5,,3330.65,4192.025,3206,2900,3650,2800
27,10,,3847.475,4708.85,5496,3350,4100,4800
27,11,,2526.7,3388.075,1717.5,2200,2950,1500
27,12,,2526.7,3388.075,1717.5,2200,2950,1500
27,15,,4594,5455.375,0,4000,4750,
27,18,,746.525,1607.9,0,650,1400,
27,,10,39049,44791.5,0,34000,39000,
23,3,,3847.475,4708.85,3664,3350,4100,3200
23,1,,2526.7,3388.075,1374,2200,2950,1200
23,2,,2526.7,3388.075,1374,2200,2950,1200
23,6,,3962.325,4823.7,5610.5,3450,4200,4900
