Modle ID,Panel Id,Pkg id,scratch,dent,part
112,3,,3375,4125,4600
112,1,,3025,3775,2600
112,2,,3025,3775,2600
112,6,,3425,4175,5100
112,7,,3425,4175,5100
112,8,,3275,4025,5300
112,9,,3275,4025,5300
112,4,,3375,4125,2500
112,5,,3375,4125,2000
112,10,,3375,4125,5000
112,11,,3025,3775,2500
112,12,,3025,3775,2500
112,15,,5125,5875,
112,18,,2125,2875,1450
112,,10,30350,34500,
111,3,,3950,4700,4900
111,1,,3950,4700,3200
111,2,,3950,4700,3200
111,6,,3950,4700,5000
111,7,,3950,4700,5000
111,8,,3950,4700,9900
111,9,,3950,4700,9900
111,4,,4575,5325,3800
111,5,,4575,5325,4200
111,10,,3950,4700,4600
111,11,,3950,4700,4400
111,12,,3950,4700,4400
111,15,,7325,8075,
111,18,,2175,2925,1800
111,,10,38750,45000,
114,3,,3075,3825,5000
114,1,,4000,4750,2500
114,2,,4000,4750,2500
114,6,,4000,4750,5700
114,7,,4000,4750,5700
114,8,,4000,4750,5700
114,9,,4000,4750,5700
114,4,,4650,5400,3500
114,5,,4650,5400,3250
114,10,,4000,4750,5000
114,11,,4000,4750,2500
114,12,,4000,4750,2500
114,15,,6500,7250,
114,18,,2150,2900,1375
114,,10,39500,47500,
110,3,,4225,4975,7000
110,1,,4275,5025,2500
110,2,,4275,5025,2500
110,6,,3950,4700,6500
110,7,,3950,4700,6500
110,8,,3950,4700,6500
110,9,,3950,4700,6500
110,4,,4950,5700,5500
110,5,,4950,5700,3500
110,10,,3750,4500,5000
110,11,,4275,5025,2500
110,12,,4275,5025,2500
110,15,,5575,6325,
110,18,,2175,2925,1450
110,,10,42500,50250,
143,3,,5350,6100,
143,1,,4625,5375,
143,2,,4625,5375,
143,6,,4725,5475,
143,7,,4725,5475,
143,8,,4725,5475,
143,9,,4725,5475,
143,4,,5625,6375,
143,5,,5625,6375,
143,10,,5525,6275,
143,11,,4625,5375,
143,12,,4625,5375,
143,15,,6150,6900,
143,18,,2800,3550,
143,,10,49250,57600,
144,3,,6525,7275,
144,1,,5025,5775,
144,2,,5025,5775,
144,6,,5575,6325,
144,7,,5575,6325,
144,8,,5575,6325,
144,9,,5575,6325,
144,4,,6425,7175,
144,5,,6425,7175,
144,10,,7275,8025,
144,11,,5025,5775,
144,12,,5025,5775,
144,15,,6650,7400,
144,18,,3325,4075,
144,,10,54600,63000,
113,3,,5825,6575,
113,1,,5025,5775,
113,2,,5025,5775,
113,6,,5775,6525,
