Brand;Brand-href;car_details;car_details-href;car_name;start_price;variant;color
Isuzu;https://www.carwale.com/isuzu-cars/;Isuzu MU-X;https://www.carwale.com/isuzu-cars/mu-x/;Isuzu MU-X;? 23.99 Lakhs;"[{'variant':'4x2'},{'variant':'4x4'}]";"[{'color':'Silky White Pearl'},{'color':'Orchid Brown Mica'},{'color':'Cosmic Black Mica'},{'color':'Titanium Silver Metallic'}]"
Maruti Suzuki;https://www.carwale.com/marutisuzuki-cars/;Maruti Suzuki Gypsy;https://www.carwale.com/marutisuzuki-cars/gypsy/;Maruti Suzuki Gypsy;? 6.53 Lakhs;"[{'variant':'King ST BS-IV'},{'variant':'King HT BS-IV'}]";"[{'color':'Silky Silver'},{'color':'Superior White'},{'color':'Ruby Red'},{'color':'Dolphin Blue'},{'color':'Harvest Green'}]"
Hyundai;https://www.carwale.com/hyundai-cars/;Hyundai Grand i10;https://www.carwale.com/hyundai-cars/grand-i10/;Hyundai Grand i10;? 4.69 Lakhs;"[{'variant':'Era 1.2 Kappa VTVT'},{'variant':'Magna 1.2 Kappa VTVT'},{'variant':'Sportz 1.2 Kappa VTVT'},{'variant':'Era U2 1.2 CRDi'},{'variant':'Sportz (O) 1.2 Kappa VTVT'},{'variant':'Magna AT 1.2 Kappa VTVT'},{'variant':'Magna U2 1.2 CRDi'},{'variant':'Asta 1.2 Kappa VTVT'},{'variant':'Sportz U2 1.2 CRDi'},{'variant':'Sportz (O) AT 1.2 Kappa VTVT'},{'variant':'Sportz (O) U2 1.2 CRDi'},{'variant':'Asta U2 1.2 CRDi'}]";"[{'color':'Golden Orange'},{'color':'Polar White'},{'color':'Red Passion'},{'color':'Sleek Silver'},{'color':'Star Dust'},{'color':'Marina Blue'}]"
Aston Martin;https://www.carwale.com/astonmartin-cars/;Aston Martin Vanquish;https://www.carwale.com/astonmartin-cars/vanquish/;Aston Martin Vanquish;? 5.5 Crores;"[{'variant':'V12'}]";"[{'color':'Jet Black'},{'color':'Midnight Blue'},{'color':'Silver Fox'},{'color':'Meteorite Silver'},{'color':'China Grey'},{'color':'Stratus White'},{'color':'Silver Blonde'},{'color':'Mariana Blue'},{'color':'Appletree Green'},{'color':'Selene Bronze'},{'color':'Onyx Black'},{'color':'Tungsten Silver'},{'color':'Marron Black'},{'color':'Madagascar Orange'},{'color':'Mako Blue'},{'color':'Cinnabar Orange'},{'color':'Volcano Red'},{'color':'Viridian Green'},{'color':'Grey Bull'},{'color':'Hardly Green'},{'color':'Hammerhead Silver'},{'color':'Cobalt Blue'},{'color':'Arizona Bronze'},{'color':'Sea Storm'},{'color':'Concours Blue'},{'color':'Lightning Silver'},{'color':'Quantum Silver'},{'color':'Ocellus Teal'},{'color':'Divine Red'},{'color':'Sunburst Yellow'},{'color':'Skyfall Silver'},{'color':'Storm Black'},{'color':'Diavolo Red'},{'color':'Kopi Bronze'},{'color':'Morning Frost White'},{'color':'Yellow Tang'}]"
Maruti Suzuki;https://www.carwale.com/marutisuzuki-cars/;Maruti Suzuki Alto 800;https://www.carwale.com/marutisuzuki-cars/alto-800/;Maruti Suzuki Alto 800;? 2.63 Lakhs;"[{'variant':'STD'},{'variant':'STD (O)'},{'variant':'LX'},{'variant':'LX (O)'},{'variant':'LXI'},{'variant':'LXI (O)'},{'variant':'VXI'},{'variant':'VXI (O)'},{'variant':'LXI CNG'},{'variant':'LXI CNG (O)'}]";"[{'color':'Silky Silver'},{'color':'Superior White'},{'color':'Granite Grey'},{'color':'Blazing Red'},{'color':'Cerulean Blue'},{'color':'Mojito Green'}]"
Isuzu;https://www.carwale.com/isuzu-cars/;Isuzu MU7;https://www.carwale.com/isuzu-cars/mu7/;Isuzu MU7;? 21.7 Lakhs;"[{'variant':'High BS IV'},{'variant':'Base BS IV'},{'variant':'Premium AT'}]";"[{'color':'Sterling Silver Metallic'},{'color':'Silky White Pearl'},{'color':'Starry Black Mica'}]"
Mini;https://www.carwale.com/mini-cars/;Mini Countryman;https://www.carwale.com/mini-cars/countryman/;Mini Countryman;? 37.81 Lakhs;"[{'variant':'Cooper D'}]";"[{'color':'Blazing Red'},{'color':'Royal Grey'},{'color':'Absolute Black'},{'color':'Crystal Silver'},{'color':'Cosmic Blue'},{'color':'Jungle Green'},{'color':'Starlight Blue'},{'color':'Midnight Grey'}]"
Maruti Suzuki;https://www.carwale.com/marutisuzuki-cars/;Maruti Suzuki Ertiga;https://www.carwale.com/marutisuzuki-cars/ertiga/;Maruti Suzuki Ertiga;? 6.68 Lakhs;"[{'variant':'LXI'},{'variant':'LXI (O)'},{'variant':'VXI'},{'variant':'LDI SHVS'},{'variant':'VXI Limited Edition'},{'variant':'LDI (O) SHVS'},{'variant':'ZXI'},{'variant':'VXI CNG'},{'variant':'VDI SHVS'},{'variant':'VXI AT'},{'variant':'VDI Limited Edition'},{'variant':'ZXI+'},{'variant':'ZDI SHVS'},{'variant':'ZDI + SHVS'}]";"[{'color':'Serene Blue'},{'color':'Silky Silver'},{'color':'Pearl Blue Blaze'},{'color':'Granite Grey'},{'color':'Superior White'}]"
Mahindra;https://www.carwale.com/mahindra-cars/;Mahindra TUV300;https://www.carwale.com/mahindra-cars/tuv300/;Mahindra TUV300;? 7.65 Lakhs;"[{'variant':'T4'},{'variant':'T4 Plus'},{'variant':'T6'},{'variant':'T6 Plus'},{'variant':'T8'},{'variant':'T8 mHAWK100'},{'variant':'T6 Plus AMT'},{'variant':'T8 mHAWK100 Dual Tone'},{'variant':'T8 AMT'},{'variant':'T8 AMT mHAWK100'}]";"[{'color':'Bold Black'},{'color':'Molten Orange'},{'color':'Majestic Silver'},{'color':'Dynamo Red'},{'color':'Verve Blue'},{'color':'Glacier White'},{'color':'Majestic Silver/Black'}]"
Tata;https://www.carwale.com/tata-cars/;Tata Tiago;https://www.carwale.com/tata-cars/tiago/;Tata Tiago;? 3.46 Lakhs;"[{'variant':'Revotron XB'},{'variant':'Revotron XE'},{'variant':'Revotron XE (O)'},{'variant':'Revotorq XB'},{'variant':'Revotron XM'},{'variant':'Revotron XM (O)'},{'variant':'Revotron XT'},{'variant':'Revotorq XE'},{'variant':'Revotron XT (O)'},{'variant':'Revotorq XE (O)'},{'variant':'Revotorq XM'},{'variant':'Revotron XZ'},{'variant':'Revotorq XM (O)'},{'variant':'Revotorq XT'},{'variant':'Revotron XZA'},{'variant':'Revotorq XT (O)'},{'variant':'Revotorq XZ'}]";"[{'color':'Sunburst Orange'},{'color':'Pearlescent White'},{'color':'Expresso Brown'},{'color':'Striker Blue'},{'color':'Platinum Silver'},{'color':'Berry Red'}]"
