Brand ID,Brand ,model id,Model,Car Type,start_year,end_year,car color,car variant
3,Hyundai,12,Elite i20,,2014,,Red Passion|Sleek Silver|Polar White|Star Dust|Marina Blue|Red passion/Phantom Black|Polar White/Phantom Black,|Era 1.2|Magna Executive 1.2|Sportz 1.2|Era 1.4 CRDI|Asta 1.2|Magna Executive 1.4 CRDI|Asta 1.2 Dual Tone|Sportz 1.4 CRDI|Asta 1.2 (O)|Asta 1.4 CRDI|Asta 1.4 CRDI Dual Tone|Asta 1.4 CRDI (O)|Magna 1.4 AT
2,Maruti Suzuki,185,New Baleno,,2016,,Ray Blue|Fire Red|Premium Silver|Premium Urban Blue|Autumn Orange|Granite Grey|Pearl Arctic White,|Sigma 1.2|Delta 1.2|Sigma 1.3|Zeta 1.2|Delta 1.2 AT|Delta 1.3|Alpha 1.2|Zeta 1.2 AT|Zeta 1.3|Alpha 1.3|RS 1.0
1,Toyota,, Platinum Etios,9,2016,,Vermilion Red|Classic grey|Silver mica Metallic|Harmoney Biege|Pearl white with crystal shine|celestial black|white,GX|V|VX|GXD|VD|VXD
8,Mercedes-Benz,216,S Class,4,,,Polar White|Obsidian Black|Iridium Silver|Cavansite Blue|Diamond White|Ruby Black|Diamond Silver,S 350 CDI|S 350 CDI Connoisseurâ€™s Edition|S 400|S 400 Connoisseurâ€™s Edition|S 500|Maybach S 500|S 63 AMG|Maybach S 600|S Guard|Maybach S 600 Guard
21,Isuzu,,MU-X,13,,,Silky White Pearl|Orchid Brown Mica|Cosmic Black Mica|Titanium Silver Metallic,4x2|4x4
31,Aston Martin,,Vanquish,4,,,Jet Black|Midnight Blue|Silver Fox|Meteorite Silver|China Grey|Stratus White|Silver Blonde|Mariana Blue|Appletree Green|Selene Bronze|Onyx Black|Tungsten Silver|Marron Black|Madagascar Orange|Mako Blue|Cinnabar Orange|Volcano Red|Viridian Green|Grey Bull|Hardly Green|Hammerhead Silver|Cobalt Blue|Arizona Bronze|Sea Storm|Concours Blue|Lightning Silver|Quantum Silver|Ocellus Teal|Divine Red|Sunburst Yellow|Skyfall Silver|Storm Black|Diavolo Red|Kopi Bronze|Morning Frost White|Yellow Tang,V12
25,Mini,,Countryman,4,,,Blazing Red|Royal Grey|Absolute Black|Crystal Silver|Cosmic Blue|Jungle Green|Starlight Blue|Midnight Grey,Cooper D
12,Mahindra,,TUV300,12,,,Bold Black|Molten Orange|Majestic Silver|Dynamo Red|Verve Blue|Glacier White|Majestic Silver/Black,T4|T4 Plus|T6|T6 Plus|T8|T8 mHAWK100|T6 Plus AMT|T8 mHAWK100 Dual Tone|T8 AMT|T8 AMT mHAWK100
8,Mercedes-Benz,,GLC,4,,,Obsidian Black|Iridium Silver|Citrine Brown|Cavansite Blue|Selenite Grey|Polar White,220 d|300
23,Jaguar,,F-Type,4,,,Firesand Metallic|Black Amethyst Metallic|Ebony Black|Polaris White|Salsa Red|Rhodium Silver Metallic|Lunar Grey Metallic|Stratus Grey Metallic|Indigo Blue Metallic|Ultimate Black Metallic|Satellite Grey Metallic|British Racing Green Metallic|Italian Racing Red Metallic,Coupe|S Coupe|S Convertible|R Coupe|R Convertible|SVR Coupe|SVR Convertible
4,Volkswagen,,GTI,4,,,Reflex Silver|Pure White|Black|Flash Red,1.8 TSI
7,BMW,,5 Series,4,,,Black Sapphire Metallic|Alpine White|Imperial Blue Brilliant Effect|Sophisto Grey Brilliant Effect Metallic|Carbon Black Metallic|Jatoba Metallic|Callisto Grey Metallic|Mediterranean Blue Metallic,520d Luxury Line|520d M Sport|530d M Sport|M5
11,Datsun,,Redi-GO,5,,,Lime|White|Ruby|Silver|Grey,D|A|T|T (O)|S|Sport
10,Chevrolet,,Sail,8,,,Switch Blade Silver|Caviar Black|Summit White|Sand Drift Grey,1.2 Base|1.2 LS|1.2 LS ABS|1.3 Base|1.3 LS|1.2 LT ABS|1.3 LS ABS|1.3 LT ABS
8,Mercedes-Benz,,E-Class,4,,,Obsidian Black|Iridium Silver|Citrine Brown|Selenite Grey|Polar White,E 200|E 220 d|E 350 d
2,Maruti Suzuki,29,Wagon R,,1999,,Silky Silver|Glistening Grey|Superior White|Breeze Blue|Bakers Chocolate|Passion Red|Midnight Blue,LXi|VXi|LXi ABS|LXi CNG|VXI+|VXi ABS|VXi AMT|LXi CNG (O)|VXI+ (O)|VXI+ AMT|VXi AMT (O)|VXI+ AMT (O)
22,Volvo,,V40 Cross Country,4,,,Raw Copper|Passion Red Solid|Crystal White Pearl|Osmium Grey|Onyx Black|Denim Blue|Rich Java,T4 Momentum|D3 Inscription
33,Rolls Royce,,Wraith,4,,,Black|Sea Green|Madeira Red|Arctic White,Sedan
7,BMW,,M3,4,,,Alpine White|Black Sapphire|Silver Stone|Mineral Grey|Yas Marina Blue|Austin Yellow|Mineral White|Sakhir Orange,Sedan
7,BMW,,3 Series GT,4,,,Alpine White|Galcier Silver|Imperial Blue Brilliant Effect|Black Sapphire|Melbourne Red|Jatoba|Arctic Grey Brilliant Effect,320d Sport Line|320d Luxury Line|330i Luxury Line
7,BMW,,X3,4,,,Black Sapphire|Deep Sea Blue|Melbourne Red|Alpine White|Carbon Black|Sparking Brown,xDrive 20d Expedition|xDrive-20d xLine|xDrive 28i xLine
8,Mercedes-Benz,,GLE Coupe,4,,,Obsidian Black|Polar White|Cavansite Blue|Tenorite Grey,43 4MATIC
3,Hyundai,,Verna,9,,,Sleek Silver|Pure White|Phantom Black|Red Passion|Star Dust,1.4 VTVT|1.6 VTVT S|1.4 CRDI|1.6 VTVT SX|1.6 VTVT S AT|1.6 CRDI S|1.6 VTVT SX AT|1.6 VTVT SX (O)|1.6 CRDI SX|1.6 CRDI S AT|1.6 CRDI SX (O)|1.6 CRDI SX (O) AT
7,BMW,,M6,4,,,Alpine White|Silver Stone|Space Grey|Black Sapphire|Jatoba|Imperial Blue Brilliant Effect|Singapore Grey|Sakhir Orange|San Marino Blue,Gran Coupe
7,BMW,,M4,4,,,Alpine White|Black Sapphire|Silver Stone|Mineral Grey|Yas Marin Blue|Austin Yellow|Mineral White|Sakhir Orange,Coupe
7,BMW,,6 Series,4,,,Alpine White|Black Sapphire|Space Grey|Glacier Silver|Mineral White|Jatoba|Mediterranean Blue|Melbourne Red|Cashmere Silver,640d Eminence|640d Design Pure Experience
#N/A,Lexus,,RX,4,,,Mercury Gray Mica|White Nova Glass Flake|Platinum Silver Metallic|Sonic Quartz|Sonic Titanium|Black|Sleek Ecru Metallic|Graphite Black Glass Flake|Amber Crystal Shine|Red Mica Crystal Shine|Heat Blue Contrast Layer|Deep Blue Mica,Luxury|F Sport
8,Mercedes-Benz,,AMG GT,4,,,Magnetite Black|Iridium Silver|Brilliant Blue|Selerite Grey|AMG Solarbeam|Designo Hyacinth Red Metallic,S
