Panel  / Part,Scratch,Dent + Scratch,Replace,Internal,Part / Panel Id,Part / Panel,Scratch ,,Dent + Scratch,,Replace,
,,,,,,,Material,Labour,Material,Labour,Material,Labour
Front Bumper,5599,7999,NA,N,4,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Rear Bumper,5599,7999,NA,N,5,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Left Fender,5599,7999,NA,N,1,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Right Fender,5599,7999,NA,N,2,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Trunk,5599,7999,NA,N,10,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Bonnet,5599,7999,NA,N,3,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Left Front Door,5599,7999,NA,N,6,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Right Front Door,5599,7999,NA,N,7,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Left Rear Door,5599,7999,NA,N,8,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Right Rear Door,5599,7999,NA,N,9,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Left Running Board,5599,7999,NA,N,13,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Right Running Board,5599,7999,NA,N,14,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Left Quarter Panel,5599,7999,NA,N,11,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Right Quarter Panel,5599,7999,NA,N,12,Panel,1679.7,3919.3,2399.7,5599.3,NA,NA
Roof,10999,15999,NA,Y,15,Panel,3299.7,7699.3,4799.7,11199.3,NA,NA
Tow Cap,NA,NA,NA,Y,33,Part,NA,NA,NA,NA,NA,NA
Door Handel,NA,NA,NA,Y,27,Part,NA,NA,NA,NA,NA,NA
Side view mirror,NA,NA,NA,Y,18,Part,NA,NA,NA,NA,NA,NA
Bumper Mount,NA,NA,NA,Y,60,Part,NA,NA,NA,NA,NA,NA
Bumper Lining,NA,NA,NA,Y,21,Part,NA,NA,NA,NA,NA,NA
Bumper Upper Grill,NA,NA,NA,Y,42,Part,NA,NA,NA,NA,NA,NA
Bumper Lower Grill,NA,NA,NA,N,43,Part,NA,NA,NA,NA,NA,NA
Fog Lamp Right,NA,NA,NA,N,32,Part,NA,NA,NA,NA,NA,NA
Fog Lamp Left,NA,NA,NA,N,39,Part,NA,NA,NA,NA,NA,NA
