Panel  / Part,Scratch,Dent + Scratch,Replace,Internal,Part / Panel Id,Part / Panel,Scratch ,,Dent + Scratch,,Replace,
,,,,,,,Material,Labour,Material,Labour,Material,Labour
Front Bumper,1999,2699,2399,N,4,Panel,599.7,1399.3,809.7,1889.3,719.7,1679.3
Rear Bumper,1999,2699,2399,N,5,Panel,599.7,1399.3,809.7,1889.3,719.7,1679.3
Left Fender,1999,2699,2399,N,1,Panel,599.7,1399.3,809.7,1889.3,719.7,1679.3
Right Fender,1999,2699,2399,N,2,Panel,599.7,1399.3,809.7,1889.3,719.7,1679.3
Trunk,1999,2699,4999,N,10,Panel,599.7,1399.3,809.7,1889.3,2719.7,2279.3
Bonnet,1999,2699,2399,N,3,Panel,599.7,1399.3,809.7,1889.3,719.7,1679.3
Left Front Door,1999,2699,2999,N,6,Panel,599.7,1399.3,809.7,1889.3,899.7,2099.3
Right Front Door,1999,2699,2999,N,7,Panel,599.7,1399.3,809.7,1889.3,899.7,2099.3
Left Rear Door,1999,2699,2999,N,8,Panel,599.7,1399.3,809.7,1889.3,899.7,2099.3
Right Rear Door,1999,2699,2999,N,9,Panel,599.7,1399.3,809.7,1889.3,899.7,2099.3
Left Running Board,1999,2699,4499,N,13,Panel,599.7,1399.3,809.7,1889.3,1349.7,3149.3
Right Running Board,1999,2699,4499,N,14,Panel,599.7,1399.3,809.7,1889.3,1349.7,3149.3
Left Quarter Panel,1999,2699,4499,N,11,Panel,599.7,1399.3,809.7,1889.3,1349.7,3149.3
Right Quarter Panel,1999,2699,4499,N,12,Panel,599.7,1399.3,809.7,1889.3,1349.7,3149.3
Roof,3999,5299,NA,Y,15,Panel,1199.7,2799.3,1589.7,3709.3,NA,NA
Tow Cap,,,299,Y,33,Part,NA,NA,NA,NA,89.7,209.3
Door Handel,,,499,Y,27,Part,NA,NA,NA,NA,149.7,349.3
Side view mirror,,,499,Y,18,Part,NA,NA,NA,NA,149.7,349.3
Bumper Mount,,,99,Y,60,Part,NA,NA,NA,NA,0,99
Bumper Lining,,,99,Y,21,Part,NA,NA,NA,NA,0,99
Bumper Upper Grill,,,99,Y,42,Part,NA,NA,NA,NA,0,99
Bumper Lower Grill,,,99,N,43,Part,NA,NA,NA,NA,0,99
Fog Lamp Right,,,99,N,32,Part,NA,NA,NA,NA,0,99
Fog Lamp Left,,,99,N,39,Part,NA,NA,NA,NA,0,99
Fog Lamp Cover with fog lamp Cut,,,99,Y,61,Part,NA,NA,NA,NA,0,99
Fog Lamp Cover without fog lamp Cut,,,99,Y,62,Part,NA,NA,NA,NA,0,99
Fog lamp Mount,,,99,Y,63,Part,NA,NA,NA,NA,0,99
Front Monogram ,,,0,Y,31,Part,NA,NA,NA,NA,0,0
Headlight Right,,,149,N,38,Part,NA,NA,NA,NA,0,149
Headlight Left,,,149,N,16,Part,NA,NA,NA,NA,0,149
Taillight Right,,,149,N,19,Part,NA,NA,NA,NA,0,149
Taillight Left,,,149,N,20,Part,NA,NA,NA,NA,0,149
Sensors/Camera,,,149,Y,64,Part,NA,NA,NA,NA,0,149
Bumper Guard/Beading,,,99,Y,65,Part,NA,NA,NA,NA,0,99
Wheel Arch Lining,,,99,Y,66,Part,NA,NA,NA,NA,0,99
Indicator,,,99,Y,67,Part,NA,NA,NA,NA,0,99
Right Fender Indicator,,,99,N,40,Part,NA,NA,NA,NA,0,99
Front Logo,,,0,N,41,Part,NA,NA,NA,NA,0,0
Right Fender Monogram,,,0,N,44,Part,NA,NA,NA,NA,0,0
Lock & Latch,,,249,Y,68,Part,NA,NA,NA,NA,0,249
Bonnet lining,,,99,Y,69,Part,NA,NA,NA,NA,0,99
Bonnet Mounts,,,249,Y,70,Part,NA,NA,NA,NA,74.7,174.3
Door beading,,,99,Y,30,Part,NA,NA,NA,NA,0,99
Door inner beading,,,99,Y,71,Part,NA,NA,NA,NA,0,99
Window beading,,,99,Y,72,Part,NA,NA,NA,NA,0,99
Window Glass,,,99,Y,45,Part,NA,NA,NA,NA,0,99
Window Glass Rubber Channel,,,99,Y,73,Part,NA,NA,NA,NA,0,99
Glass Beading,,,99,Y,74,Part,NA,NA,NA,NA,0,99
Window Glass Lift Channel,,,499,Y,75,Part,NA,NA,NA,NA,0,499
Power Window Switch,,,249,Y,76,Part,NA,NA,NA,NA,0,249
Window Manual Switch,,,99,Y,77,Part,NA,NA,NA,NA,0,99
Power Window Motor,,,249,Y,78,Part,NA,NA,NA,NA,0,249
Door Lock Mechanism,,,999,Y,79,Part,NA,NA,NA,NA,0,999
Central Locking Mechanism,,,999,Y,80,Part,NA,NA,NA,NA,0,999
Door Mounts,,,999,Y,81,Part,NA,NA,NA,NA,299.7,699.3
Fuel Cap,,,499,Y,82,Part,NA,NA,NA,NA,149.7,349.3
Wheel Arch Lining,,,99,Y,83,Part,NA,NA,NA,NA,0,99
Quarter glass,,,1299,Y,84,Part,NA,NA,NA,NA,700,599
Quarter glass Beading,,,99,Y,85,Part,NA,NA,NA,NA,29.7,69.3
Trunk Door Lining,,,99,Y,86,Part,NA,NA,NA,NA,0,99
Trunk Door Beading,,,99,Y,87,Part,NA,NA,NA,NA,0,69.3
Back Logo,,,0,Y,88,Part,NA,NA,NA,NA,0,0
Trunk Door Glass,,,2999,Y,89,Part,NA,NA,NA,NA,2000,999
