car_id,6,,,,,
Part ID in Bumper,Part Name,Type,Price,,TYP 2  - MRP,
4,Front Bumper,C,1625,,1625,
5,Rear Bumper,C,2300,,2300,
1,Left Fender,C,1617,,1617,
2,Right Fender,C,1617,,1617,
10,Trunk,C,10646,,10646,
3,Bonnet,C,6002,,6002,
6,Left Front Door,C,8845,,8845,
7,Right Front Door,C,8845,,8845,
8,Left Rear Door,C,13774,,13774,
9,Right Rear Door,C,13774,,13774,
13,Left Running Board,,,,,
14,Right Running Board,,,,,
11,Left Quarter Panel,C,7254,,7254,
12,Right Quarter Panel,C,7254,,7254,
15,Roof,C,6490,,6490,
33,Tow Cap,,,,,
27,Door Handel,,,,,
18,Side view mirror,manual,2114,,"normal -2114 , electrical 4650",
18,Side view mirror,ELECTRICAL,4650,,,
60,Bumper Mount,,,,,
21,Bumper Lining,,,,,
42,Bumper Upper Grill,C,561,,925,
43,Bumper Lower Grill,C,1745,,3240,
32,Fog Lamp Right,C,1160,,1160,
39,Fog Lamp Left,C,1160,,1160,
61,Fog Lamp Cover with fog lamp Cut,C,150,,150,
62,Fog Lamp Cover without fog lamp Cut,C,125,,125,
63,Fog lamp Mount,,,,,
31,Front Monogram,,,,,
38,Headlight Right,C,2599,,2599,
16,Headlight Left,C,2599,,2599,
19,Taillight Right,C,1094,,1094,
20,Taillight Left,C,1094,,1094,
64,Sensors/Camera,,,,,
65,Bumper Guard/Beading,,,,,
66,Wheel Arch Lining,,,,,
67,Indicator,,,,,
40,Right Fender Indicator,,,,,
41,Front Logo,,,,,
44,Right Fender Monogram,,,,,
68,Lock & Latch,,,,,
69,Bonnet lining,,,,,
70,Bonnet Mounts,,,,,
30,Door beading,,,,,
71,Door inner beading,,,,,
72,Window beading,C,254,,254,
45,Window Glass,C,694,,694,
73,Window Glass Rubber Channel,,,,,
74,Glass Beading,,,,,
75,Window Glass Lift Channel,,,,,
76,Power Window Switch,,,,,
77,Window Manual Switch,,,,,
78,Power Window Motor,,,,,
79,Door Lock Mechanism,,,,,
80,Central Locking Mechanism,,,,,
81,Door Mounts,,,,,
82,Fuel Cap,,,,,
83,Wheel Arch Lining,,,,,
84,Quarter glass,C,378,,378,
85,Quarter glass Beading,C,378,,378,
86,Trunk Door Lining,,,,,
87,Trunk Door Beading,,,,,
88,Back Logo,,,,,
89,Trunk Door Glass,Normal,1538,,"normal -1538 ,, defoger - 2147",
89,Trunk Door Glass,Defoger,2147,,,
22,Number Plate,,,,,
90,Number plate Light,,,,,
91,Inner Rubber Beading,,,,,
36,Wiper,,,,,
92,Wiper Blades,,,,,
93,Wiper Scuffing,,,,,
55,Mud Flaps,,,,,
94,Wheel Caps,,,,,
95,Alloy Wheels,,,,,
96,Tires,,,,,
97,After Market Fog Lamp,,,,,
98,Interior Ambient Light,,,,,
99,Bull Guard,,,,,
100,After Market Antenna,,,,,
101,Laser Cut Number Plates,,,,,
46,Windshield,C,4900,,4900,
