car_id,358,,,,,
Part ID in Bumper,Part Name,Type,Price,Model year,TYP 2  - MRP,
4,Front Bumper,TYP 1,1625,2009 - 2015,1250,
5,Rear Bumper,TYP 1,1300,2009 - 2015,2650,
1,Left Fender,C,1119,,1119,
2,Right Fender,C,1119,,1119,
10,Trunk,TYP 1,4960,2009 - 2015,4700,
3,Bonnet,TYP 1,2845,2009 - 2015,2975,
6,Left Front Door,TYP 1,6000,2009 - 2015,5200,
7,Right Front Door,TYP 1,5300,2009 - 2015,5200,
8,Left Rear Door,C,6000,,6000,
9,Right Rear Door,C,6000,,6000,
13,Left Running Board,,,,,
14,Right Running Board,,,,,
11,Left Quarter Panel,C,1375,,1375,
12,Right Quarter Panel,C,1375,,1375,
15,Roof,C,3186,,3186,
33,Tow Cap,,,,,
27,Door Handel,,,,,
18,Side view mirror,TYP 1,1155,2009 - 2015,"normal -1925 , electrical - 2375",
60,Bumper Mount,,,,,
21,Bumper Lining,,,,,
42,Bumper Upper Grill,,,,,
43,Bumper Lower Grill,,,,,
32,Fog Lamp Right,C,1160,,1160,
39,Fog Lamp Left,C,1160,,1160,
61,Fog Lamp Cover with fog lamp Cut,TYP 1,72,2009 - 2015,57,
62,Fog Lamp Cover without fog lamp Cut,TYP 1,72,2009 - 2015,57,
63,Fog lamp Mount,,,,,
31,Front Monogram,,,,,
38,Headlight Right,TYP 1,2200,2009 - 2015,2000,
16,Headlight Left,TYP 1,2200,2009 - 2015,2000,
19,Taillight Right,TYP 1,810,2009 - 2015,1190,
20,Taillight Left,TYP 1,810,2009 - 2015,1190,
64,Sensors/Camera,,,,,
65,Bumper Guard/Beading,,,,,
66,Wheel Arch Lining,,,,,
67,Indicator,,,,,
40,Right Fender Indicator,,,,,
41,Front Logo,,,,,
44,Right Fender Monogram,,,,,
68,Lock & Latch,,,,,
69,Bonnet lining,,,,,
70,Bonnet Mounts,,,,,
30,Door beading,,,,,
71,Door inner beading,,,,,
72,Window beading,C,337,,337,
45,Window Glass,C,715,,715,
73,Window Glass Rubber Channel,,,,,
74,Glass Beading,,,,,
75,Window Glass Lift Channel,,,,,
76,Power Window Switch,,,,,
77,Window Manual Switch,,,,,
78,Power Window Motor,,,,,
79,Door Lock Mechanism,,,,,
80,Central Locking Mechanism,,,,,
81,Door Mounts,,,,,
82,Fuel Cap,,,,,
83,Wheel Arch Lining,,,,,
84,Quarter glass,,,,,
85,Quarter glass Beading,,,,,
86,Trunk Door Lining,,,,,
87,Trunk Door Beading,,,,,
88,Back Logo,,,,,
89,Trunk Door Glass,TYP 1,1875,2009 - 2015,1675,
22,Number Plate,,,,,
90,Number plate Light,,,,,
91,Inner Rubber Beading,,,,,
36,Wiper,,,,,
92,Wiper Blades,,,,,
93,Wiper Scuffing,,,,,
55,Mud Flaps,,,,,
94,Wheel Caps,,,,,
95,Alloy Wheels,,,,,
96,Tires,,,,,
97,After Market Fog Lamp,,,,,
98,Interior Ambient Light,,,,,
99,Bull Guard,,,,,
100,After Market Antenna,,,,,
101,Laser Cut Number Plates,,,,,
46,Windshield,C,3250,,2980,
