car_id,4,,,,
Part ID in Bumper,Part Name,Type,Price,Model year,
4,Front Bumper,TYP 2,1250,2015 - 2017,
5,Rear Bumper,TYP 2,2650,2015 - 2017,
10,Trunk,TYP 2,4700,2015 - 2017,
3,Bonnet,TYP 2,2975,2015 - 2017,
6,Left Front Door,TYP 2,5200,2015 - 2017,
7,Right Front Door,TYP 2,,2015 - 2017,
18,Side view mirror MANUAL,TYP 2,1925,2015 - 2017,
18,Side view mirror ELECTRICAL,TYP 2,2375,2015 - 2017,
61,Fog Lamp Cover with fog lamp Cut,TYP 2,57,2015 - 2017,
62,Fog Lamp Cover without fog lamp Cut,TYP 2,57,2015 - 2017,
38,Headlight Right,TYP 2,2000,2015 - 2017,
16,Headlight Left,TYP 2,2000,2015 - 2017,
19,Taillight Right,TYP 2,1190,2015 - 2017,
20,Taillight Left,TYP 2,1190,2015 - 2017,
89,Trunk Door Glass,TYP 2,1675,2015 - 2017,
1,Left Fender,C,1119,,
2,Right Fender,C,1119,,
8,Left Rear Door,C,6000,,
9,Right Rear Door,C,6000,,
11,Left Quarter Panel,C,1375,,
12,Right Quarter Panel,C,1375,,
15,Roof,C,3186,,
32,Fog Lamp Right,C,1160,,
39,Fog Lamp Left,C,1160,,
72,Window beading,C,337,,
45,Window Glass,C,715,,
46,Windshield,C,3250,,
