car_id,118,,,,
Part ID in Bumper,Part Name,Variant,Price,Model year,
4,Front Bumper,TYP 2,2000,2009 - 2012,
18,Side view mirror RH,TYP 2,1200,2009 - 2012,
18,Side view mirror LH,TYP 2,1200,2009 - 2012,
89,Trunk Door Glass,TYP 2,1500,2009 - 2012,
1,Left Fender,C,1300,,
2,Right Fender,C,1300,,
8,Left Rear Door,C,6100,,
9,Right Rear Door,C,6100,,
11,Left Quarter Panel,C,1500,,
12,Right Quarter Panel,C,1500,,
15,Roof,C,3300,,
32,Fog Lamp Right,C,1200,,
39,Fog Lamp Left,C,1200,,
5,Rear Bumper,TYP 2,1200,2009 - 2012,
10,Trunk,TYP 2,5650,2009 - 2012,
3,Bonnet,TYP 2,3100,2009 - 2012,
6,Left Front Door,TYP 2,6200,2009 - 2012,
7,Right Front Door,TYP 2,5400,2009 - 2012,
38,Headlight Right,TYP 2,2200,,
16,Headlight Left,TYP 2,2200,,
19,Taillight Right,TYP 2,900,,
20,Taillight Left,TYP 2,900,,
46,Windshield,C,3300,,2980
87,Trunk Door Beading,C,300,,
