car_id,185,,,,
Part ID in Bumper,Part Name,Type,Price,Model year,
4,Front Bumper,TYP 2,1800,2016 - 2017,
5,Rear Bumper,TYP 2,4100,2016 - 2017,
1,Left Fender,TYP 2,1200,2016 - 2017,
2,Right Fender,TYP 2,1200,2016 - 2017,
10,Trunk,TYP 2,3800,2016 - 2017,
3,Bonnet,TYP 2,3200,2016 - 2017,
6,Left Front Door,TYP 2,5650,2016 - 2017,
7,Right Front Door,TYP 2,5650,2016 - 2017,
8,Left Rear Door,TYP 2,7480,2016 - 2017,
9,Right Rear Door,TYP 2,7480,2016 - 2017,
11,Left Quarter Panel,TYP 2,2850,2016 - 2017,
12,Right Quarter Panel,TYP 2,2850,2016 - 2017,
15,Roof,TYP 2,3550,2016 - 2017,
18,Side view mirror RH / LH,TYP 2,4800,2016 - 2017,
38,Headlight Right,TYP 2,3550,2016 - 2017,
38,Headlight Right,TYP 2 LED,19200,2016 - 2017,
16,Headlight Left,TYP 2,3550,2016 - 2017,
16,Headlight Left,TYP 2 LED,19200,2016 - 2017,
19,Taillight Right,TYP 2 NORMAL,2500,2016 - 2017,
19,Taillight Right,TYP 2,5320,2016 - 2017,
20,Taillight Left,TYP 2 NORMAL,2500,2016 - 2017,
20,Taillight Left,TYP 2,5320,2016 - 2017,
89,Trunk Door Glass,TYP 2 Plain,2770,2016 - 2017,
89,Trunk Door Glass,TYP 2 Defoger,3350,2016 - 2017,
46,Windshield,TYP 2,3700,2016 - 2017,
