car_id,350,,,,,,,
Part ID in Bumper,Part Name,Type,Price,Model year,,,,
4,Front Bumper,Typ 1,2005,2007 - 2011,,,,
5,Rear Bumper,Typ 1,2232,2007 - 2011,,,,
1,Left Fender,Typ 1,2000,2007 - 2011,,,,
2,Right Fender,Typ 1,2000,2007 - 2011,,,,
10,Trunk,Typ 1,4853,2007 - 2011,,,,
3,Bonnet,Typ 1,4042,2007 - 2011,,,,
6,Left Front Door,Typ 1,6500,2007 - 2011,,,,
7,Right Front Door,Typ 1,6500,2007 - 2011,,,,
8,Left Rear Door,Typ 1,7500,2007 - 2011,,,,
9,Right Rear Door,Typ 1,7500,2007 - 2011,,,,
13,Left Running Board,Typ 1,9632,2007 - 2011,,,,
14,Right Running Board,Typ 1,10627,2007 - 2011,,,,
11,Left Quarter Panel,Typ 1,8013,2007 - 2011,,,,
12,Right Quarter Panel,Typ 1,8013,2007 - 2011,,,,
15,Roof,Typ 1,5223,2007 - 2011,,,,
33,Tow Cap,Typ 1,2000,2007 - 2011,,,,
27,Door Handel,Typ 1,270,2007 - 2011,,,,
18,Side view mirror,Typ 1,1400,2007 - 2011,,,,
60,Bumper Mount,,,,,,,
21,Bumper Lining,,,,,,,
42,Bumper Upper Grill,,,,,,,
43,Bumper Lower Grill,Typ 1,900,2007 - 2011,,,,
32,Fog Lamp Right,Typ 1,2500,2007 - 2011,,,,
39,Fog Lamp Left,Typ 1,2500,2007 - 2011,,,,
61,Fog Lamp Cover with fog lamp Cut,Typ 1,200,2007 - 2011,,,,
62,Fog Lamp Cover without fog lamp Cut,Typ 1,200,2007 - 2011,,,,
63,Fog lamp Mount,Typ 1,,,,,,
31,Front Monogram,C,1650,2011 - 2013,,,,
38,Headlight Right,TYP 1,3950,2011 - 2013,,,,
16,Headlight Left,TYP 1,3950,2011 - 2013,,,,
19,Taillight Right,Typ 1,1450,2011 - 2013,,,,
20,Taillight Left,Typ 1,1450,2011 - 2013,,,,
64,Sensors/Camera,,,,,,,
65,Bumper Guard/Beading,,,,,,,
66,Wheel Arch Lining,C,867,,,,,
67,Indicator,C,550,,,,,
40,Right Fender Indicator,C,550,,,,,
41,Front Logo,C,1650,,,,,
44,Right Fender Monogram,,,,,,,
68,Lock & Latch BONNET,C,632,,,,,
68,Lock & Latch DICKY,C,4500,,,,,
69,Bonnet lining,C,2000,,,,,
70,Bonnet Mounts,,,,,,,
30,Door beading,,,,,,,
71,Door inner beading,,,,,,,
72,Window beading,,,,,,,
45,Window Glass,C,3502,,,,,
73,Window Glass Rubber Channel,,,,,,,
74,Glass Beading,C,4200,,,,,
75,Window Glass Lift Channel,MANUAL,1000,2011 - 2013,,,,
75,Window Glass Lift Channel,ELECTRICAL,2410,2011 - 2013,,,,
76,Power Window Switch,C,718,,,,,
77,Window Manual Switch,,,,,,,
78,Power Window Motor,,,,,,,
79,Door Lock Mechanism,MANUAL,2700,2011 - 2013,,,,
79,Door Lock Mechanism,ELECTRICAL,3850,2011 - 2013,,,,
80,Central Locking Mechanism,,,,,,,
81,Door Mounts,,,,,,,
82,Fuel Cap,C,450,,,,,
83,Wheel Arch Lining,,,,,,,
84,Quarter glass,C,1000,,,,,
85,Quarter glass Beading,C,200,,,,,
86,Trunk Door Lining,,,,,,,
87,Trunk Door Beading,,,,,,,
88,Back Logo,C,1650,,,,,
89,Trunk Door Glass,,,,,,,
22,Number Plate,,,,,,,
90,Number plate Light,C,1550,,,,,
91,Inner Rubber Beading,,,,,,,
36,Wiper,,,,,,,
92,Wiper Blades,C,850,,,,,
93,Wiper Scuffing,,,,,,,
55,Mud Flaps,C,1500,,,,,
94,Wheel Caps,C,each 1200,,,,,
95,Alloy Wheels,,,,,,,
96,Tires,,,,,,,
97,After Market Fog Lamp,,,,,,,
98,Interior Ambient Light,,,,,,,
99,Bull Guard,,,,,,,
100,After Market Antenna,C,1500,,,,,
101,Laser Cut Number Plates,,,,,,,
46,Windshield,C,3502,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
