Car id,Car Name,Model Year,Model year in system,Default Model Year
118,Maruti Suzuki Alto OLD,2005 - 2009,,
118,Maruti Suzuki Alto OLD,2009 - 2012,,
4,Maruti Suzuki Alto K10,2009 - 2015,,
4,Maruti Suzuki Alto K10,2015 - None,,
158,Maruti Suzuki Baleno ,1999 - 2007,,
185,Maruti Suzuki Baleno,2016 - None,,
66,Maruti Suzuki Ciaz,2015 - 2016,,
6,Maruti Suzuki Ertiga,2012 - 2016,,
148,Ford Fiesta,2005 - 2008,,
102,Ford - Classic,2011 - 2014,,
103,Ford Figo,2007 - 2011,,
103,Ford Figo,2013 - 2015,,
248,Ford Ikon,1999 - 2004,,
248,Ford Ikon,2004 - 2006,,
248,Ford Ikon,2009 - 2011,,
27,Maruti Suzuki Ritz,2010 - 2014,,
27,Maruti Suzuki Ritz,2014 - None,,
2,Maruti Suzuki Swift,2005 - 2009 ,,
2,Maruti Suzuki Swift,2009 - 2013,,
2,Maruti Suzuki Swift,2014 - 2016,,
23,Maruti Suzuki Swift Dzire,2007 - 2011,,
23,Maruti Suzuki Swift Dzire,2012 - 2014,,
