car_id,2,,,,,
Part ID in Bumper,Part Name,Type,Price,Model year,TYP 2  - MRP,
4,Front Bumper,TYP 3,1900,2014 - 2016,,
1,Left Fender,C,1650,,1650,
2,Right Fender,C,1650,,1650,
10,Trunk,C,5800,,5800,
3,Bonnet,C,4900,,4900,
6,Left Front Door,C,7925,,7925,
7,Right Front Door,C,7925,,7925,
8,Left Rear Door,C,8950,,8950,
9,Right Rear Door,C,8950,,8950,
13,Left Running Board,,,,,
14,Right Running Board,,,,,
11,Left Quarter Panel,C,1795,,1795,
12,Right Quarter Panel,C,1795,,1795,
15,Roof,,,,,
33,Tow Cap,,,,,
27,Door Handel,,,,,
18,Side view mirror,C,1500,,1500,
60,Bumper Mount,C,1500,,1500,
21,Bumper Lining,,,,,
42,Bumper Upper Grill,C,513,,513,
43,Bumper Lower Grill,C,513,,513,
32,Fog Lamp Right,C,1160,,1160,
39,Fog Lamp Left,C,1160,,1160,
61,Fog Lamp Cover with fog lamp Cut,C,70,,70,
62,Fog Lamp Cover without fog lamp Cut,C,70,,70,
63,Fog lamp Mount,,,,,
31,Front Monogram,,,,,
38,Headlight Right,C,2580,,2580,
16,Headlight Left,C,2580,,2580,
16,Headlight Right,TYPE 3,2650,2014 - 2016,,
16,Headlight Left,TYPE 3,2650,2014 - 2016,,
19,Taillight Right,TYP 3,1100,2014 - 2016,,
20,Taillight Left,TYP 3,1100,2014 - 2016,,
64,Sensors/Camera,,,,,
65,Bumper Guard/Beading,,,,,
66,Wheel Arch Lining,,,,,
67,Indicator,,,,,
40,Right Fender Indicator,,,,,
41,Front Logo,,,,,
44,Right Fender Monogram,,,,,
68,Lock & Latch,,,,,
69,Bonnet lining,,,,,
70,Bonnet Mounts,,,,,
30,Door beading,,,,,
71,Door inner beading,,,,,
72,Window beading,,,,,
45,Window Glass,C,865,,865,
73,Window Glass Rubber Channel,,,,,
74,Glass Beading,,,,,
75,Window Glass Lift Channel,,,,,
76,Power Window Switch,,,,,
77,Window Manual Switch,,,,,
78,Power Window Motor,,,,,
79,Door Lock Mechanism,,,,,
80,Central Locking Mechanism,,,,,
81,Door Mounts,,,,,
82,Fuel Cap,,,,,
83,Wheel Arch Lining,,,,,
84,Quarter glass,C,215,,215,
85,Quarter glass Beading,,,,,
86,Trunk Door Lining,,,,,
87,Trunk Door Beading,,,,,
88,Back Logo,,,,,
89,Trunk Door Glass,C,1650,,1650,
22,Number Plate,,,,,
90,Number plate Light,,,,,
91,Inner Rubber Beading,,,,,
36,Wiper,,,,,
92,Wiper Blades,,,,,
93,Wiper Scuffing,,,,,
55,Mud Flaps,,,,,
94,Wheel Caps,,,,,
95,Alloy Wheels,,,,,
96,Tires,,,,,
97,After Market Fog Lamp,,,,,
98,Interior Ambient Light,,,,,
99,Bull Guard,,,,,
100,After Market Antenna,,,,,
101,Laser Cut Number Plates,,,,,
46,Windshield,C,3800,,3800,
